subnum,year,placeval,ravens,wiat,woodcock,arith,wholegroupsums,abacus,age,female,condition,verbalwm,spatialwm,english,math,science,computer,music,art,phys.ed,attendance,mental.rot,ordinality,deviance,cov,linslope,linr2,logr2,averagegrades,ans
1,0,0.181818182,NA,NA,0.302325581,0.208333333,NA,1,6.4,0,abacus,1.92,3.67,95,97,99,88,84,86,79,250,0.166666667,NA,NA,NA,NA,NA,NA,88.5,8
4,0,0.363636364,0.666666667,0.12,0.209302326,0.145833333,NA,0,7.5,0,control,3.25,2.96,76,83,67,90,90,90,80,243,0.40625,NA,NA,NA,NA,NA,NA,82.16666667,7
5,0,0,0.666666667,0.08,0.209302326,0.145833333,NA,0,7.3,0,control,3.5,2.38,61,82,77,64,86,84,85,227,0.114583333,NA,NA,NA,NA,NA,NA,76.16666667,NA
6,0,NA,0.083333333,NA,0.162790698,NA,NA,0,6.9,0,control,1.71,1.46,34,62,66,46,87,84,74,219,0.166666667,NA,NA,NA,NA,NA,NA,65.16666667,6
7,0,0.090909091,0.833333333,NA,0.139534884,0.020833333,NA,0,7.2,0,control,1.42,1.25,66,84,83,56,87,84,75,222,0.46875,NA,NA,NA,NA,NA,NA,75.16666667,8
8,0,0.090909091,0.166666667,0.04,0.162790698,0.020833333,NA,0,5.9,1,control,4.25,1.5,72,78,92,82,88,88,75,232,0.322916667,NA,NA,NA,NA,NA,NA,82.83333333,7
9,0,0.363636364,0.166666667,0.04,0.139534884,0.083333333,NA,0,5.9,1,control,3.46,2.46,85,90,98,76,90,82,75,225,0.21875,NA,NA,NA,NA,NA,NA,84.33333333,10
10,0,0.272727273,NA,NA,0.209302326,0.145833333,NA,0,6.4,0,control,2.12,1.46,85,89,94,82,90,88,75,238,0.125,NA,NA,NA,NA,NA,NA,85.66666667,8
11,0,0.272727273,0.25,0.16,0.186046512,0.083333333,NA,0,6.2,0,control,2.58,3.67,71,80,76,72,91,84,79,247,0.270833333,NA,NA,NA,NA,NA,NA,78.83333333,7
12,0,0.181818182,0.666666667,0.12,0.255813953,0.145833333,NA,0,6.5,0,control,2.12,1.79,95,98,100,94,92,88,80,225,0.541666667,NA,NA,NA,NA,NA,NA,91.5,11
13,0,0.454545455,0.75,0.28,0.348837209,0.1875,NA,1,6.2,0,abacus,3.17,3.12,98,99,100,92,88,86,80,245,0.416666667,NA,NA,NA,NA,NA,NA,90.66666667,14
14,0,0.454545455,0.5,NA,0.255813953,0.166666667,NA,0,7.1,0,control,3.54,4.58,75,95,82,72,89,86,79,239,0.322916667,NA,NA,NA,NA,NA,NA,80.5,10
15,0,0.363636364,0.583333333,0.16,0.302325581,0.1875,NA,0,7.1,1,control,4.17,2.17,79,98,96,92,90,92,76,250,0.270833333,NA,NA,NA,NA,NA,NA,87.5,8
16,0,0.272727273,0.916666667,0.12,0.255813953,0.1875,NA,1,7.1,0,abacus,1.25,2.96,73,90,81,80,87,88,75,242,0.4375,NA,NA,NA,NA,NA,NA,80.66666667,13
17,0,0.272727273,0.583333333,NA,0.255813953,0.166666667,NA,0,6.7,0,control,1.88,2.88,81,96,88,82,87,88,89,244,0.166666667,NA,NA,NA,NA,NA,NA,85.83333333,NA
18,0,0.090909091,0.416666667,NA,0.302325581,0.1875,NA,0,6.9,1,control,3.83,2.54,91,94,92,96,90,90,76,242,-0.010416667,NA,NA,NA,NA,NA,NA,89.16666667,10
19,0,0.181818182,0.75,0.16,0.209302326,0.166666667,NA,0,5.8,0,control,2.29,2.21,62,88,87,68,91,84,75,245,0.520833333,NA,NA,NA,NA,NA,NA,77.83333333,8
20,0,0.363636364,0.666666667,0.16,0.23255814,0.104166667,NA,1,6.5,0,abacus,3.08,3.46,73,88,76,72,89,84,76,245,0.40625,NA,NA,NA,NA,NA,NA,78.33333333,11
21,0,0.272727273,0.666666667,0.16,0.23255814,0.25,NA,1,6.4,0,abacus,2.83,4.5,85,90,90,76,87,88,81,244,0.25,NA,NA,NA,NA,NA,NA,84.5,10
22,0,0.363636364,0.583333333,0.12,0.302325581,0.145833333,NA,0,5.8,1,control,2.92,3,87,91,94,66,91,92,75,249,0.197916667,NA,NA,NA,NA,NA,NA,84.16666667,8
23,0,0.454545455,NA,0.12,0.11627907,0.083333333,NA,1,6.9,0,abacus,4.04,4.25,76,92,89,78,87,84,75,246,0.291666667,NA,NA,NA,NA,NA,NA,81.5,9
24,0,0.363636364,0.666666667,0.2,0.279069767,0.166666667,NA,1,6.9,1,abacus,3.46,4.38,96,99,98,90,90,92,85,245,0.583333333,NA,NA,NA,NA,NA,NA,91.83333333,11
25,0,0,0.5,0.28,0.255813953,0.083333333,NA,1,6.6,1,abacus,4.21,2.58,80,88,90,72,91,88,75,242,0.28125,NA,NA,NA,NA,NA,NA,82.66666667,6
26,0,0.636363636,0.666666667,0.32,0.325581395,0.291666667,NA,0,7.7,0,control,3.96,4.62,88,97,97,86,89,86,76,248,0.53125,NA,NA,NA,NA,NA,NA,87,14
27,0,0.181818182,0.083333333,0.08,0.139534884,0.020833333,NA,0,6.3,1,control,2.58,1.54,57,76,75,72,91,86,76,213,0.083333333,NA,NA,NA,NA,NA,NA,76.16666667,10
28,0,0,0.166666667,NA,0.186046512,0.083333333,NA,1,6.8,1,abacus,1.58,1.46,71,89,78,84,91,90,74,245,0.322916667,NA,NA,NA,NA,NA,NA,81.33333333,8
29,0,0.181818182,0.583333333,0.08,0.186046512,0.104166667,NA,0,6.1,0,control,2.71,2.17,41,74,58,62,88,88,80,231,0.270833333,NA,NA,NA,NA,NA,NA,69.5,8
30,0,0.181818182,NA,0.2,0.279069767,0.104166667,NA,0,6.5,0,control,2.21,4.21,77,92,88,82,90,86,79,243,0.5,NA,NA,NA,NA,NA,NA,83.66666667,5
33,0,0.454545455,0.583333333,NA,0.279069767,0.291666667,NA,1,6.9,1,abacus,4,4.38,90,93,97,66,89,90,80,239,0.229166667,NA,NA,NA,NA,NA,NA,85.33333333,7
34,0,0.454545455,0.75,0.24,0.209302326,0.270833333,NA,0,5.8,1,control,2.83,2.71,93,94,96,90,89,92,76,247,0.270833333,NA,NA,NA,NA,NA,NA,89.33333333,8
35,0,0.636363636,0.583333333,0.28,0.302325581,0.208333333,NA,1,7.6,0,abacus,2.38,3.79,80,89,82,88,91,92,89,243,0.458333333,NA,NA,NA,NA,NA,NA,87,8
37,0,0.363636364,0.583333333,0.28,0.302325581,0.1875,NA,0,7.5,0,control,2.08,3.08,89,97,96,82,89,88,80,237,0.083333333,NA,NA,NA,NA,NA,NA,87.33333333,12
38,0,0.272727273,0.5,0.12,0.186046512,0.104166667,NA,1,7.1,0,abacus,2.96,2.71,85,91,94,58,85,84,81,245,0.458333333,NA,NA,NA,NA,NA,NA,81.16666667,11
